Name,DOB,SSN,Zip,Workclass,Education,Education-Num,Marital Status,Occupation,Relationship,Race,Sex,Hours per week,Country,Target,Age,Capital Gain,Capital Loss
Karrie Trusslove,9/7/1967,732-14-6110,64152,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K,56,2174,0
Brandise Tripony,6/7/1988,150-19-2766,61523,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,13,United-States,<=50K,35,0,0
Brenn McNeely,8/6/1991,725-59-9860,95668,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K,32,0,0
Dorry Poter,4/6/2009,659-57-4974,25503,Private,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K,14,0,0
Dick Honnan,9/16/1951,220-93-3811,75387,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,Cuba,<=50K,72,0,0
Allene Raff,8/2/2001,535-53-2336,9820,Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K,22,0,0
Clevie Schimoni,10/17/1989,787-78-1258,87125,Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,<=50K,34,0,0
Erhard Nesbeth,7/25/1971,208-67-0874,60887,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,>50K,52,0,0
Hedvige Fairpo,8/10/2001,691-69-7317,81548,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K,22,14084,0
Kally Ayers,7/31/1998,632-53-4141,51592,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,>50K,25,5178,0
Binni Mc Mechan,6/23/2009,119-26-4980,90245,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,80,United-States,>50K,14,0,0
Hedda Allworthy,6/14/1995,232-09-2296,89259,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K,28,0,0
Massimiliano Plett,3/11/1957,870-03-4270,79482,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K,66,0,0
Gwenny Micallef,3/11/1987,531-39-1676,29389,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,<=50K,36,0,0
Rollie Gabbatt,5/19/1985,121-55-7484,42065,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,40,,>50K,38,0,0
Devondra Delort,9/27/1968,383-99-3693,76988,Private,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,<=50K,55,0,0
Rozella Coulthard,1/16/2010,703-66-0223,32345,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,<=50K,13,0,0
Tannie Bohlmann,1/25/1979,138-57-2883,71929,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K,44,0,0
Tyne Landeaux,11/24/1958,884-59-8967,3098,Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,<=50K,65,0,0
Anthe Devine,9/25/1979,875-07-4084,72862,Self-emp-not-inc,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K,44,0,0
Rozalie Rowbottom,8/2/1970,570-73-0139,53155,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,United-States,>50K,53,0,0
Mahala Dimberline,9/28/1964,189-87-7998,3691,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,<=50K,59,0,0
